ID,probs
304,0.108
305,0.32
306,0.354
307,0.12
308,0.104
309,0.08
310,0.44
311,0.118
312,0.18
313,0.12
314,0.276
315,0.07
316,0.22
317,0.112
318,0.248
319,0.178
320,0.11
321,0.108
322,0.298
323,0.086
324,0.146
325,0.098
326,0.426
327,0.304
328,0.084
329,0.102
330,0.038
331,0.04
332,0.082
333,0.332
334,0.284
335,0.224
336,0.216
337,0.072
338,0.092
339,0.094
340,0.088
341,0.536
342,0.276
343,0.078
344,0.124
345,0.18
346,0.048
347,0.064
348,0.086
349,0.21
350,0.088
351,0.19
352,0.18
353,0.384
354,0.078
355,0.11
356,0.072
357,0.308
358,0.596
359,0.078
360,0.084
361,0.122
362,0.054
363,0.206
364,0.072
365,0.174
366,0.066
367,0.062
368,0.162
369,0.166
370,0.024
371,0.094
372,0.374
373,0.39
374,0.026
375,0.106
376,0.08
377,0.384
378,0.084
379,0.188
380,0.004
381,0.45
382,0.294
383,0.44
384,0.22
385,0.142
386,0.194
387,0.014
388,0.12
389,0.142
390,0.424
391,0.106
392,0.16
393,0.286
394,0.042
395,0.14
396,0.156
397,0.404
398,0.04
399,0.14
400,0.56
401,0.168
402,0.404
403,0.154
404,0.078
405,0.152
406,0.144
407,0.202
408,0.31
409,0.274
410,0.236
411,0.118
412,0.096
413,0.066
414,0.046
415,0.536
416,0.206
417,0.112
418,0.074
419,0.47
420,0.18
421,0.074
422,0.19
423,0.146
424,0.048
425,0.104
426,0.246
427,0.094
428,0.136
429,0.174
430,0.15
431,0.284
432,0.078
433,0.154
434,0.436
435,0.194
436,0.266
437,0.218
438,0.168
439,0.214
440,0.152
441,0.076
442,0.104
443,0.11
444,0.084
445,0.054
446,0.216
447,0.542
448,0.176
449,0.062
450,0.278
451,0.23
452,0.098
453,0.15
454,0.148
455,0.204
456,0.182
457,0.066
458,0.264
459,0.104
460,0.204
461,0.208
462,0.182
463,0.218
464,0.118
465,0.026
466,0.092
467,0.108
468,0.09
469,0.232
470,0.164
471,0.242
472,0.184
473,0.286
474,0.128
475,0.138
476,0.302
477,0.532
478,0.198
479,0.06
480,0.088
481,0.206
482,0.188
483,0.102
484,0
485,0.126
486,0.07
487,0.552
488,0.07
489,0.094
490,0.218
491,0.128
492,0.618
493,0.294
494,0.032
495,0.152
496,0.088
497,0.296
498,0.232
499,0.34
500,0.098
501,0.494
502,0.098
503,0.578
504,0.134
505,0.146
506,0.15
507,0.092
508,0.486
509,0.15
510,0.128
511,0.112
512,0.114
513,0.08
514,0.088
515,0.248
516,0.166
517,0.1
518,0.07
519,0.538
520,0.222
521,0.172
522,0.222
523,0.072
524,0.134
525,0.024
526,0.046
527,0.244
528,0.162
529,0.224
530,0.136
531,0.376
532,0.312
533,0.176
534,0.152
535,0.08
536,0.104
537,0.092
538,0.316
539,0.108
540,0.218
541,0.236
542,0.066
543,0.372
544,0.478
545,0.12
546,0.11
547,0.48
548,0.168
549,0.06
550,0.074
551,0.298
552,0.054
553,0.412
554,0.076
555,0.292
556,0.154
557,0.066
558,0
559,0.272
560,0.294
561,0.042
562,0.056
563,0.562
564,0.152
565,0.078
566,0.19
567,0.072
568,0.04
569,0.298
570,0.268
571,0.134
572,0.204
573,0.372
574,0.09
575,0.092
576,0.112
577,0.364
578,0.024
579,0.17
580,0.124
581,0.082
582,0.006
583,0.136
584,0.294
585,0.13
586,0.282
587,0.094
588,0.082
589,0.248
590,0.29
591,0.168
592,0.386
593,0.542
594,0.054
595,0.18
596,0.208
597,0.034
598,0.402
599,0.036
600,0.03
601,0.052
602,0.064
603,0.032
604,0.212
605,0.05
606,0.172
607,0.342
608,0.166
609,0.124
610,0.17
611,0.402
612,0.254
613,0.144
614,0.116
615,0.37
616,0.266
617,0.268
618,0.166
619,0.044
620,0.344
621,0.296
622,0.068
623,0.14
624,0.042
625,0.182
626,0.054
627,0.018
628,0.158
629,0.114
630,0.116
631,0.08
632,0.114
633,0.148
634,0.058
635,0.126
636,0.122
637,0.186
638,0.312
639,0.062
640,0.038
641,0.226
642,0.18
643,0.074
644,0.144
645,0.116
646,0.04
647,0.136
648,0.346
649,0.31
650,0.242
651,0.576
652,0.008
653,0.274
654,0.028
655,0.126
656,0.118
657,0.126
658,0.142
659,0.174
660,0.864
661,0.18
662,0.152
663,0.552
664,0.09
665,0.132
666,0.208
667,0.136
668,0.116
669,0.138
670,0.104
671,0.13
672,0.37
673,0.096
674,0.158
675,0.05
676,0.28
677,0.02
678,0.086
679,0.108
680,0.238
681,0.156
682,0.012
683,0.164
684,0.07
685,0.174
686,0.33
687,0.374
688,0.086
689,0.168
690,0.174
691,0.074
692,0.19
693,0.042
694,0.03
695,0.072
696,0.178
697,0.182
698,0.224
699,0.202
700,0.13
701,0.066
702,0.144
703,0.366
704,0.39
705,0.122
706,0.348
707,0.55
708,0
709,0.032
710,0.31
711,0.324
712,0.008
713,0.066
714,0.08
715,0.192
716,0.11
717,0.096
718,0.062
719,0.404
720,0.08
721,0.094
722,0.188
723,0.096
724,0.2
725,0.164
726,0.104
727,0.166
728,0.212
729,0.164
730,0.29
731,0.134
732,0.032
733,0.092
734,0.048
735,0.084
736,0.544
737,0.228
738,0.314
739,0.348
740,0.202
741,0.242
742,0.07
743,0.3
744,0.092
745,0.1
746,0.108
747,0.446
748,0.104
749,0.1
750,0.558
751,0.26
752,0.11
753,0.284
754,0.01
755,0.08
756,0.126
757,0.684
758,0.674
759,0.104
760,0.518
761,0.234
762,0.19
763,0.388
764,0.29
765,0.1
766,0.068
767,0.082
768,0.48
769,0.504
770,0.612
771,0.194
772,0.216
773,0.004
774,0.542
775,0.108
776,0.676
777,0.042
778,0.162
779,0.368
780,0.122
781,0.128
782,0.086
783,0.314
784,0.438
785,0.166
786,0.12
787,0.02
788,0.034
789,0.146
790,0.304
791,0.556
792,0.09
793,0.208
794,0.242
795,0.208
796,0.186
797,0.108
798,0.158
799,0.086
800,0.184
801,0
802,0.012
803,0.278
804,0.162
805,0.238
806,0.02
807,0.168
808,0.152
809,0.04
810,0.08
811,0.008
812,0.142
813,0.054
814,0.324
815,0.076
816,0.02
817,0.154
818,0.04
819,0.106
820,0.042
821,0.162
822,0.07
823,0.194
824,0.178
825,0.276
826,0.426
827,0.422
828,0.128
829,0.118
830,0.114
831,0.502
832,0.198
833,0
834,0.324
835,0.424
836,0.528
837,0.164
838,0.058
839,0.01
840,0.174
841,0.102
842,0.274
843,0.044
844,0.072
845,0.426
846,0.418
847,0.05
848,0.24
849,0.15
850,0.176
851,0.216
852,0.228
853,0.448
854,0.084
855,0.216
856,0.072
857,0.026
858,0.128
859,0.306
860,0.052
861,0.214
862,0.582
863,0.246
864,0.138
865,0.148
866,0.022
867,0.36
868,0.06
869,0.378
870,0.394
871,0.182
872,0.28
873,0.04
874,0.218
875,0.138
876,0.034
877,0.084
878,0.122
879,0.032
880,0.218
881,0.136
882,0.158
883,0.04
884,0.18
885,0.186
886,0.172
887,0.084
888,0.082
889,0.056
890,0.136
891,0.658
892,0.138
893,0.044
894,0.554
895,0.08
896,0.094
897,0.116
898,0.104
899,0.464
900,0.01
901,0.14
902,0.01
903,0.164
904,0.34
905,0.14
906,0.124
907,0.548
908,0.11
909,0.076
910,0.072
911,0.05
912,0.364
913,0.14
914,0.49
915,0.218
916,0.144
917,0.18
918,0.234
919,0.086
920,0.138
921,0.138
922,0.28
923,0.33
924,0.076
925,0.276
926,0.15
927,0.064
928,0.164
929,0.048
930,0
931,0.324
932,0.11
933,0.392
934,0.172
935,0.118
936,0.074
937,0.294
938,0.492
939,0.186
940,0.024
941,0.104
942,0.078
943,0.026
944,0.13
945,0
946,0.594
947,0.132
948,0.198
949,0.376
950,0.532
951,0.058
952,0.35
953,0.04
954,0.098
955,0.18
956,0.474
957,0.562
958,0.144
959,0.384
960,0.104
961,0.368
962,0.128
963,0.164
964,0.208
965,0.126
966,0.21
967,0.108
968,0.014
969,0.032
970,0.076
971,0.118
972,0.402
973,0.516
974,0.346
975,0.52
976,0.164
977,0.054
978,0.294
979,0.094
980,0.488
981,0.304
982,0.222
983,0.176
984,0.062
985,0.082
986,0.34
987,0.276
988,0.054
989,0.144
990,0.094
991,0.31
992,0.634
993,0.174
994,0.074
995,0.22
996,0.282
997,0.104
998,0.07
999,0.164
1000,0.164
1001,0.148
1002,0.088
1003,0.136
1004,0.094
1005,0.16
1006,0.212
1007,0.134
1008,0.048
1009,0.202
1010,0.15
1011,0.118
1012,0.114
1013,0.382
1014,0.05
1015,0.41
1016,0.278
1017,0.456
1018,0.056
1019,0.156
1020,0.452
1021,0.184
1022,0.424
1023,0.05
1024,0.134
1025,0.162
1026,0.09
1027,0.08
1028,0.296
1029,0.556
1030,0.122
1031,0.214
1032,0.16
1033,0.018
1034,0.128
1035,0.136
1036,0.438
1037,0.214
1038,0.244
1039,0.076
1040,0.11
1041,0.154
1042,0.338
1043,0.336
1044,0.284
1045,0.222
1046,0.144
1047,0.014
1048,0.068
1049,0.142
1050,0.076
1051,0.214
1052,0.18
1053,0.16
1054,0.152
1055,0.142
1056,0.086
1057,0.264
1058,0.452
1059,0.07
1060,0.118
1061,0.214
1062,0.358
1063,0.182
1064,0.016
1065,0.058
1066,0.174
1067,0.178
1068,0.204
1069,0.226
1070,0.154
1071,0.094
1072,0.17
1073,0.21
1074,0.462
1075,0.222
1076,0.192
1077,0.114
1078,0.13
1079,0.04
1080,0.186
1081,0.108
1082,0.214
1083,0.16
1084,0.064
1085,0.074
1086,0.472
1087,0.072
1088,0.082
1089,0.182
1090,0.318
1091,0.032
1092,0.272
1093,0.41
1094,0.116
1095,0.296
1096,0.3
1097,0.254
1098,0.052
1099,0.06
1100,0.13
1101,0.126
1102,0.222
1103,0.234
1104,0.506
1105,0.398
1106,0.314
1107,0.158
1108,0.062
1109,0.03
1110,0.262
1111,0.062
1112,0.154
1113,0.118
1114,0.036
1115,0.102
1116,0.704
1117,0.116
1118,0.25
1119,0.318
1120,0.158
1121,0.13
1122,0.168
1123,0.174
1124,0.138
1125,0.554
1126,0.098
1127,0.318
1128,0.094
1129,0.078
1130,0.018
1131,0.08
1132,0.146
1133,0.04
1134,0.118
1135,0.088
1136,0.248
1137,0.476
1138,0.048
1139,0.168
1140,0.108
1141,0.098
1142,0.034
1143,0.068
1144,0.33
1145,0.118
1146,0.052
1147,0.122
1148,0.124
1149,0.47
1150,0.098
1151,0.146
1152,0.432
1153,0.12
1154,0.148
1155,0.374
1156,0.27
1157,0.198
1158,0.062
1159,0.066
1160,0.088
1161,0.16
1162,0.014
1163,0.294
1164,0.334
1165,0.262
1166,0.168
1167,0.196
1168,0.124
1169,0.106
1170,0.016
1171,0.04
1172,0.208
1173,0.154
1174,0.074
1175,0.048
1176,0.044
1177,0.142
1178,0.908
1179,0.112
1180,0.198
1181,0.416
1182,0.12
1183,0.11
1184,0.076
1185,0.15
1186,0.032
1187,0.478
1188,0.106
1189,0.506
1190,0.032
1191,0.13
1192,0.32
1193,0.064
1194,0.086
1195,0.152
1196,0
1197,0.092
1198,0.344
1199,0.092
1200,0.496
1201,0.242
1202,0.114
1203,0.046
1204,0.036
1205,0.078
1206,0.138
1207,0
1208,0.016
1209,0.03
1210,0.172
1211,0.144
1212,0.162
1213,0.11
1214,0.05
1215,0.152
1216,0.2
1217,0.322
1218,0.086
1219,0.066
1220,0.326
1221,0.438
1222,0.248
1223,0.046
1224,0.11
1225,0.932
1226,0.06
1227,0.454
1228,0.224
1229,0.014
1230,0.272
1231,0.04
1232,0.038
1233,0.112
1234,0.142
1235,0.254
1236,0.18
1237,0.154
1238,0.238
1239,0.52
1240,0.164
1241,0.12
1242,0.396
1243,0.206
1244,0.194
1245,0.248
1246,0.154
1247,0.188
1248,0.14
1249,0.272
1250,0.472
1251,0.266
1252,0.478
1253,0.04
1254,0.132
1255,0.122
1256,0.246
1257,0.054
1258,0.112
1259,0.13
1260,0.108
1261,0.316
1262,0.074
1263,0.246
1264,0.048
1265,0.058
1266,0.304
1267,0.634
1268,0.236
1269,0.282
1270,0.356
1271,0.134
1272,0.168
1273,0.154
1274,0.068
1275,0.154
1276,0.034
1277,0.066
1278,0.168
1279,0.448
1280,0.224
1281,0.182
1282,0.058
1283,0.306
1284,0.046
1285,0.21
1286,0.072
1287,0.154
1288,0.012
1289,0.142
1290,0.118
1291,0.018
1292,0.078
1293,0.412
1294,0.192
1295,0.268
1296,0.38
1297,0.12
1298,0.002
1299,0.002
1300,0.466
1301,0.038
1302,0.198
1303,0.044
1304,0.224
1305,0.054
1306,0.172
1307,0.492
1308,0.542
1309,0.034
1310,0.138
1311,0.146
1312,0.102
1313,0.274
1314,0.028
1315,0.428
1316,0.018
1317,0
1318,0.168
1319,0.368
1320,0.242
1321,0.322
1322,0.198
1323,0.346
1324,0.586
1325,0.062
1326,0.438
1327,0.384
1328,0.07
1329,0.068
1330,0.466
1331,0.178
1332,0.114
1333,0.092
1334,0.186
1335,0.28
1336,0.162
1337,0
1338,0.006
1339,0.19
1340,0.468
1341,0.074
1342,0.074
1343,0.19
1344,0.166
1345,0.226
1346,0.106
1347,0.032
1348,0.148
1349,0.002
1350,0.024
1351,0.1
1352,0.046
1353,0.24
1354,0.024
1355,0.028
1356,0.152
1357,0.062
1358,0.02
1359,0.072
1360,0.506
1361,0.102
1362,0.05
1363,0.182
1364,0.744
1365,0.236
1366,0.132
1367,0.172
1368,0.208
1369,0.092
1370,0.122
1371,0.212
1372,0.21
1373,0.132
1374,0.418
1375,0.092
1376,0.148
1377,0.14
1378,0.062
1379,0.094
1380,0.066
1381,0.43
1382,0.2
1383,0.042
1384,0.37
1385,0.182
1386,0.128
1387,0.9
1388,0.19
1389,0.068
1390,0.052
1391,0.15
1392,0.438
1393,0.138
1394,0.182
1395,0.094
1396,0.176
1397,0.126
1398,0.366
1399,0.418
1400,0.418
1401,0.118
1402,0.012
1403,0.492
1404,0.054
1405,0.008
1406,0.176
1407,0.142
1408,0.084
1409,0.206
1410,0.084
1411,0.21
1412,0.07
1413,0.112
1414,0.306
1415,0.046
1416,0.286
1417,0.072
1418,0.078
1419,0.564
1420,0.054
1421,0.114
1422,0.248
1423,0.068
1424,0.384
1425,0.176
1426,0.13
1427,0.068
1428,0.014
1429,0.084
1430,0.098
1431,0.046
1432,0.044
1433,0.038
1434,0.178
1435,0.324
1436,0.082
1437,0.06
1438,0.204
1439,0.032
1440,0.348
1441,0.15
1442,0.042
1443,0.194
1444,0.268
1445,0.458
1446,0.162
1447,0.29
1448,0.142
1449,0.554
1450,0.068
1451,0.198
1452,0.206
1453,0.406
1454,0.232
1455,0.072
1456,0.156
1457,0.166
1458,0.12
1459,0.232
1460,0.034
1461,0.382
1462,0.046
1463,0.098
1464,0.092
1465,0.212
1466,0.322
1467,0.15
1468,0.028
1469,0.122
1470,0.346
1471,0.122
1472,0.158
1473,0.32
1474,0.158
1475,0.104
1476,0.36
1477,0.09
1478,0.352
1479,0.318
1480,0.264
1481,0.114
1482,0.076
1483,0.078
1484,0.352
1485,0.09
1486,0.21
1487,0.142
1488,0.056
1489,0.204
1490,0.308
1491,0.12
1492,0.372
1493,0.096
1494,0.55
1495,0.214
1496,0.254
1497,0.082
1498,0.346
1499,0.104
1500,0.042
1501,0.148
1502,0.166
1503,0.058
1504,0.248
1505,0.118
1506,0.106
1507,0.336
1508,0.148
1509,0.204
1510,0.516
1511,0.294
1512,0.344
1513,0.052
1514,0.056
1515,0.874
1516,0.088
1517,0.238
1518,0.172
1519,0.516
1520,0.112
1521,0.17
1522,0.146
1523,0.16
1524,0.162
1525,0.214
1526,0.204
1527,0.046
1528,0.474
1529,0.29
1530,0.22
1531,0.274
1532,0.16
1533,0.106
1534,0.014
1535,0.158
1536,0.084
1537,0.232
1538,0.122
1539,0.516
1540,0.234
1541,0.578
1542,0.038
1543,0.054
1544,0.18
1545,0.118
1546,0.1
1547,0.262
1548,0.2
1549,0.18
1550,0.088
1551,0.064
1552,0.108
1553,0.28
1554,0.278
1555,0.17
1556,0.11
1557,0.082
1558,0.342
1559,0.118
1560,0.116
1561,0.306
1562,0.104
1563,0.182
1564,0.072
1565,0.17
1566,0.172
1567,0.05
1568,0.588
1569,0.156
1570,0.232
1571,0.07
1572,0.086
1573,0
1574,0.106
1575,0.34
1576,0.212
1577,0.402
1578,0.07
1579,0.092
1580,0.402
1581,0.072
1582,0.186
1583,0.062
1584,0.148
1585,0.148
1586,0.06
1587,0.18
1588,0.156
1589,0.244
1590,0.194
1591,0.058
1592,0.158
1593,0.266
1594,0.142
1595,0.474
1596,0.12
1597,0.146
1598,0.286
1599,0.148
1600,0.066
1601,0.198
1602,0.302
1603,0.238
1604,0.028
1605,0.192
1606,0
1607,0.45
1608,0.098
1609,0.14
1610,0.104
1611,0.26
1612,0.116
1613,0.106
1614,0.27
1615,0.098
1616,0.128
1617,0.076
1618,0.096
1619,0.154
1620,0.08
1621,0.138
1622,0.094
1623,0.148
1624,0.31
1625,0.13
1626,0.182
1627,0.37
1628,0.312
1629,0.246
1630,0.038
1631,0.062
1632,0.056
1633,0.1
1634,0.02
1635,0.248
1636,0.128
1637,0.24
1638,0.036
1639,0.108
1640,0.362
1641,0.118
1642,0.094
1643,0.426
1644,0.134
1645,0.178
1646,0.358
1647,0.146
1648,0.252
1649,0.12
1650,0.286
1651,0.044
1652,0
1653,0.122
1654,0.158
1655,0.384
1656,0.478
1657,0.478
1658,0.01
1659,0.226
1660,0.21
1661,0.53
1662,0.408
1663,0.348
1664,0.188
1665,0.062
1666,0.06
1667,0.336
1668,0.13
1669,0.09
1670,0.486
1671,0
1672,0.024
1673,0.05
1674,0.366
1675,0.35
1676,0.208
1677,0.254
1678,0.07
1679,0.228
1680,0.106
1681,0.192
1682,0.066
1683,0.29
1684,0.148
1685,0.288
1686,0.432
1687,0.152
1688,0.108
1689,0.196
1690,0.51
1691,0.078
1692,0.522
1693,0.228
1694,0.068
1695,0.182
1696,0.158
1697,0.232
1698,0.246
1699,0.16
1700,0.276
1701,0.086
1702,0.436
1703,0.206
1704,0.136
1705,0.312
1706,0.37
1707,0.132
1708,0.188
1709,0.072
1710,0.11
1711,0.122
1712,0.148
1713,0.072
1714,0.172
1715,0.162
1716,0.198
1717,0.016
1718,0.596
1719,0.108
1720,0.414
1721,0.08
1722,0.042
1723,0.268
1724,0.142
1725,0.224
1726,0.588
1727,0.184
1728,0.26
1729,0.228
1730,0.216
1731,0.324
1732,0.44
1733,0.264
1734,0.046
1735,0.272
1736,0.164
1737,0.172
1738,0.176
1739,0.04
1740,0.242
1741,0.168
1742,0.09
1743,0.158
1744,0.198
1745,0.068
1746,0.128
1747,0.182
1748,0.13
1749,0.124
1750,0.144
1751,0.416
1752,0.138
1753,0.266
1754,0.218
1755,0.282
1756,0.168
1757,0.036
1758,0.414
1759,0
1760,0.212
1761,0.316
1762,0.028
1763,0.286
1764,0.598
1765,0.162
1766,0.088
1767,0.06
1768,0.076
1769,0.046
1770,0.148
1771,0.448
1772,0.22
1773,0.164
1774,0.184
1775,0.036
1776,0.16
1777,0.024
1778,0.034
1779,0.308
1780,0.11
1781,0.132
1782,0.092
1783,0.192
1784,0.038
1785,0.26
1786,0.252
1787,0.082
1788,0.28
1789,0.06
1790,0.03
1791,0.204
1792,0.044
1793,0.186
1794,0.09
1795,0.174
1796,0.008
1797,0.528
1798,0.15
1799,0.066
1800,0.076
1801,0.016
1802,0.09
1803,0.036
1804,0.236
1805,0.116
1806,0.296
1807,0.188
1808,0.13
1809,0.22
1810,0.092
1811,0.146
1812,0.148
1813,0.3
1814,0.12
1815,0.07
1816,0.092
1817,0.208
1818,0.092
1819,0.29
1820,0.096
1821,0.152
1822,0.214
1823,0.048
1824,0.216
1825,0.146
1826,0.218
1827,0.186
1828,0.202
1829,0.072
1830,0.2
1831,0.538
1832,0.424
1833,0.258
1834,0.056
1835,0.448
1836,0.044
1837,0.126
1838,0.094
1839,0.166
1840,0.384
1841,0.024
1842,0.38
1843,0.122
1844,0.114
1845,0.1
1846,0.15
1847,0.1
1848,0.536
1849,0.106
1850,0.22
1851,0.046
1852,0.148
1853,0.578
1854,0.09
1855,0.082
1856,0.012
1857,0.054
1858,0.216
1859,0.134
1860,0.278
1861,0.058
1862,0.11
1863,0.02
1864,0.158
1865,0.368
1866,0.202
1867,0.374
1868,0.1
1869,0.21
1870,0.2
1871,0.2
1872,0.138
1873,0.082
1874,0.142
1875,0.224
1876,0.13
1877,0.226
1878,0.026
1879,0.44
1880,0.088
1881,0.082
1882,0.166
1883,0.234
1884,0.046
1885,0.11
1886,0.072
1887,0.246
1888,0.35
1889,0.2
1890,0.466
1891,0.324
1892,0.148
1893,0.098
1894,0.242
1895,0.152
1896,0.166
1897,0.146
1898,0.366
1899,0.138
1900,0.092
1901,0.342
1902,0.41
1903,0.222
1904,0.132
1905,0.28
1906,0.22
1907,0.13
1908,0.062
1909,0.016
1910,0.154
1911,0.038
1912,0.08
1913,0.362
1914,0.192
1915,0.126
1916,0.15
1917,0.106
1918,0.054
1919,0.462
1920,0.4
1921,0.056
1922,0.126
1923,0.318
1924,0.142
1925,0.094
1926,0.172
1927,0.144
1928,0.45
1929,0.186
1930,0.33
1931,0.2
1932,0.144
1933,0.432
1934,0.17
1935,0.218
1936,0.112
1937,0.152
1938,0.346
1939,0.214
1940,0.318
1941,0.136
1942,0.22
1943,0.046
1944,0.168
1945,0.088
1946,0.21
1947,0.23
1948,0.24
1949,0.21
1950,0.062
1951,0.054
1952,0.398
1953,0.186
1954,0.428
1955,0.396
1956,0.178
1957,0.276
1958,0.098
1959,0.176
1960,0.082
1961,0.092
1962,0.324
1963,0.266
1964,0.06
1965,0.134
1966,0.182
1967,0.478
1968,0.162
1969,0.42
1970,0.282
1971,0.092
1972,0.06
1973,0.114
1974,0.1
1975,0.402
1976,0.122
1977,0.384
1978,0.172
1979,0.052
1980,0.14
1981,0.042
1982,0.156
1983,0.164
1984,0.412
1985,0.068
1986,0.096
1987,0.064
1988,0.118
1989,0.332
1990,0.012
1991,0.252
1992,0.038
1993,0.13
1994,0.14
1995,0.21
1996,0.056
1997,0.142
1998,0.056
1999,0.266
2000,0.026
2001,0.272
2002,0.184
2003,0.158
2004,0.356
2005,0.458
2006,0.21
2007,0.076
2008,0.12
2009,0.058
2010,0.202
2011,0.322
2012,0.246
2013,0.24
2014,0.19
2015,0.224
2016,0.128
2017,0.226
2018,0.232
2019,0.04
2020,0.168
2021,0.04
2022,0.164
2023,0.172
2024,0.274
2025,0.032
2026,0.244
2027,0.192
2028,0.224
2029,0
2030,0.12
2031,0.258
2032,0.132
2033,0.062
2034,0.14
2035,0.522
2036,0.124
2037,0.046
2038,0.17
2039,0
2040,0.032
2041,0.134
2042,0.688
2043,0.378
2044,0.06
2045,0.106
2046,0.202
2047,0.448
2048,0.284
2049,0.048
2050,0.56
2051,0.116
2052,0.156
2053,0.206
2054,0.33
2055,0.142
2056,0.172
2057,0.202
2058,0.134
2059,0.088
2060,0.144
2061,0.592
2062,0.052
2063,0.136
2064,0.532
2065,0.11
2066,0.138
2067,0.546
2068,0.188
2069,0.032
2070,0.142
2071,0.156
2072,0.006
2073,0.178
2074,0.136
2075,0.134
2076,0.38
2077,0.048
2078,0.208
2079,0.214
2080,0.46
2081,0.178
2082,0.042
2083,0.11
2084,0.058
2085,0.174
2086,0.088
2087,0.086
2088,0.166
2089,0.084
2090,0.222
2091,0.454
2092,0.34
2093,0.192
2094,0.262
2095,0.248
2096,0.132
2097,0.104
2098,0.106
2099,0.204
2100,0.162
2101,0.402
2102,0.354
2103,0.07
2104,0.178
2105,0.296
2106,0.244
2107,0.136
2108,0.16
2109,0.1
2110,0.042
2111,0.524
2112,0.392
2113,0.18
2114,0.564
2115,0.23
2116,0.364
2117,0.404
2118,0.118
2119,0.56
2120,0.288
2121,0.038
2122,0.156
2123,0.46
2124,0.508
2125,0.106
2126,0.42
2127,0.264
2128,0.446
2129,0.104
2130,0.148
2131,0.118
2132,0.082
2133,0.146
2134,0.19
2135,0.162
2136,0.4
2137,0.076
2138,0.16
2139,0.1
2140,0.242
2141,0.092
2142,0.072
2143,0.128
2144,0.05
2145,0.024
2146,0.226
